"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L10990","SignalLogger","org.apache.hadoop.util.SignalLogger","L7848","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\SignalLogger.java","34","1","93","2","0","0","0","0","0","0","0","0","1","2","2","4","5","2","2","1","2","1","0.282051","11","11","2","0","0.311475","19","0","0","0","0","0","28","39","2","0","2","0","1","1","1","0","1","16","1","1","0","42","60","4","0","4","0","3","1","2","0","3","20","1","2","0","0","0","8","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","4","1","0","0","0","0"
"L14771","CreateFlag","org.apache.hadoop.fs.CreateFlag","L14473","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\fs\CreateFlag.java","59","1","138","2","0","0","0","0","0","0","0","0","1","2","2","12","6","27","1","2","6","1","0.574257","58","57","3","0","0.574257","58","0","0","0","0","0","43","80","5","1","5","1","4","4","2","0","4","16","4","2","0","43","80","5","1","5","1","4","4","2","0","4","16","4","2","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L52849","MetricType","org.apache.hadoop.metrics2.MetricType","L52810","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\metrics2\MetricType.java","20","1","31","2","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0.636364","7","7","0","1","0.636364","7","0","0","0","0","0","4","12","2","0","2","0","0","2","0","0","0","0","2","0","0","4","12","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L65219","AccessPrivilege","org.apache.hadoop.nfs.AccessPrivilege","L65205","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-nfs\src\main\java\org\apache\hadoop\nfs\AccessPrivilege.java","20","1","24","2","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","5","3","0","3","0","0","3","0","0","0","0","3","0","0","5","5","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L65590","NfsFileType","org.apache.hadoop.nfs.NfsFileType","L65205","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-nfs\src\main\java\org\apache\hadoop\nfs\NfsFileType.java","23","1","41","2","0","0","0","0","0","0","0","0","1","0","0","2","0","1","1","0","2","0.5","0.384615","10","3","1","1","0.384615","10","0","0","0","0","0","16","19","8","0","8","0","2","7","1","0","2","2","7","1","0","16","19","8","0","8","0","2","7","1","0","2","2","7","1","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L4315","SaslRpcServer$QualityOfProtection","org.apache.hadoop.security.SaslRpcServer$QualityOfProtection","L4303","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\SaslRpcServer.java","65","3","79","4","0","0","0","0","0","0","0","0","0","0","0","2","0","3","1","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","12","15","4","1","4","1","2","4","1","0","2","2","4","1","0","12","15","4","1","4","1","2","4","1","0","2","2","4","1","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L4039","SaslRpcServer$AuthMethod","org.apache.hadoop.security.SaslRpcServer$AuthMethod","L4303","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\SaslRpcServer.java","215","3","255","4","0","0","0","0","0","0","0","0","2","0","0","7","2","13","4","0","5","1","0.171429","6","6","4","0","0.171429","6","0","0","0","0","0","29","41","8","1","8","1","5","7","3","0","5","7","7","3","0","29","41","8","1","8","1","5","7","3","0","5","7","7","3","0","0","0","12","0","2","0","0","0","0","0","0","1","0","0","2","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L4778","UserGroupInformation$AuthenticationMethod","org.apache.hadoop.security.UserGroupInformation$AuthenticationMethod","L2589","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\UserGroupInformation.java","1065","3","1111","4","0","0","0","0","0","0","0","0","1","2","2","8","5","16","6","0","5","0.333333","0.111111","5","5","1","2","0.111111","5","0","0","0","0","0","40","47","8","2","8","2","5","6","2","0","5","11","6","2","0","40","47","8","2","8","2","5","6","2","0","5","11","6","2","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L8575","DataChecksum$Type","org.apache.hadoop.util.DataChecksum$Type","L8562","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\DataChecksum.java","50","3","73","4","0","0","0","0","0","0","0","0","1","1","1","4","0","11","2","0","2","1","0.166667","4","2","2","0","0.166667","4","0","0","0","0","0","20","24","7","0","7","0","2","7","1","0","2","5","7","1","0","20","24","7","0","7","0","2","7","1","0","2","5","7","1","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L11258","StringUtils$TraditionalBinaryPrefix","org.apache.hadoop.util.StringUtils$TraditionalBinaryPrefix","L11055","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\StringUtils.java","639","3","756","4","0","0","0","0","0","0","0","0","1","3","3","19","1","6","7","1","5","1","0.293103","34","28","4","0","0.293103","34","0","0","0","0","0","82","118","10","0","10","0","4","10","3","0","4","47","10","3","0","82","118","10","0","10","0","4","10","3","0","4","47","10","3","0","0","0","8","1","6","0","0","2","0","0","0","0","0","0","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L13318","Configuration$ParsedTimeDuration","org.apache.hadoop.conf.Configuration$ParsedTimeDuration","L2419","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\conf\Configuration.java","1150","3","1198","4","0","0","0","0","0","0","0","0","2","2","2","8","0","9","3","0","4","0","0.0285714","1","0","0","1","0.0204082","1","0","0","7","7","0","34","35","7","0","7","0","4","7","0","0","4","8","7","0","0","48","49","7","0","7","0","18","7","0","0","32","22","7","0","0","0","0","87","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0"
"L14180","TestConfiguration$Dingo","org.apache.hadoop.conf.TestConfiguration$Dingo","L14053","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\test\java\org\apache\hadoop\conf\TestConfiguration.java","725","3","725","26","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","2","0","2","0","0","2","0","0","0","0","2","0","0","1","1","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L14193","TestConfiguration$Yak","org.apache.hadoop.conf.TestConfiguration$Yak","L14053","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\test\java\org\apache\hadoop\conf\TestConfiguration.java","726","3","726","24","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","2","0","2","0","0","2","0","0","0","0","2","0","0","1","1","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L19976","HardLink$OSType","org.apache.hadoop.fs.HardLink$OSType","L18459","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\fs\HardLink.java","44","3","50","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","7","7","5","0","5","0","0","5","0","0","0","0","5","0","0","7","7","5","0","5","0","0","5","0","0","0","0","5","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L14884","Options$Rename","org.apache.hadoop.fs.Options$Rename","L14783","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\fs\Options.java","205","3","222","4","0","0","0","0","0","0","0","0","2","0","0","5","0","13","0","0","3","0.333333","0.263158","5","3","1","2","0.263158","5","0","0","0","0","0","14","18","3","0","3","0","3","2","2","0","3","3","2","2","0","14","18","3","0","3","0","3","2","2","0","3","3","2","2","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L18532","FsAction","org.apache.hadoop.fs.permission.FsAction","L21348","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\fs\permission\FsAction.java","26","1","72","2","0","0","0","0","0","0","0","0","2","1","1","6","4","4","6","0","5","1","0.288889","13","13","5","0","0.288889","13","0","0","0","0","0","32","47","10","0","10","0","5","9","4","0","5","7","9","4","0","32","47","10","0","10","0","5","9","4","0","5","7","9","4","0","0","0","9","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","6","0","0","0","0","0"
"L26911","FileContextTestHelper$fileType","org.apache.hadoop.fs.FileContextTestHelper$fileType","L26007","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\test\java\org\apache\hadoop\fs\FileContextTestHelper.java","227","3","227","57","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","3","0","3","0","0","3","0","0","0","0","3","0","0","1","1","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L27308","FileSystemTestHelper$fileType","org.apache.hadoop.fs.FileSystemTestHelper$fileType","L25956","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\test\java\org\apache\hadoop\fs\FileSystemTestHelper.java","233","3","233","57","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","3","0","3","0","0","3","0","0","0","0","3","0","0","1","1","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L27004","FSTestWrapper$fileType","org.apache.hadoop.fs.FSTestWrapper$fileType","L26930","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\test\java\org\apache\hadoop\fs\FSTestWrapper.java","132","3","134","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","3","0","3","0","0","3","0","0","0","0","3","0","0","3","3","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L30092","ActiveStandbyElector$ConnectionState","org.apache.hadoop.ha.ActiveStandbyElector$ConnectionState","L30065","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\ha\ActiveStandbyElector.java","149","3","151","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","3","0","3","0","0","3","0","0","0","0","3","0","0","3","3","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L30106","ActiveStandbyElector$State","org.apache.hadoop.ha.ActiveStandbyElector$State","L30065","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\ha\ActiveStandbyElector.java","153","3","155","4","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","4","0","4","0","0","4","0","0","0","0","4","0","0","3","3","4","0","4","0","0","4","0","0","0","0","4","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L30663","HAServiceProtocol$HAServiceState","org.apache.hadoop.ha.HAServiceProtocol$HAServiceState","L30465","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\ha\HAServiceProtocol.java","50","3","66","4","0","0","0","0","0","0","0","0","1","0","0","2","0","11","0","0","2","0.5","0.263158","5","5","1","1","0.263158","5","0","0","0","0","0","14","17","5","0","5","0","2","4","1","0","2","2","4","1","0","14","17","5","0","5","0","2","4","1","0","2","2","4","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L30426","HAServiceProtocol$RequestSource","org.apache.hadoop.ha.HAServiceProtocol$RequestSource","L30465","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\ha\HAServiceProtocol.java","68","3","72","4","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","5","3","0","3","0","0","3","0","0","0","0","3","0","0","5","5","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L30797","HealthMonitor$State","org.apache.hadoop.ha.HealthMonitor$State","L30780","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\ha\HealthMonitor.java","80","3","107","4","0","0","0","0","0","0","0","0","0","0","0","0","2","10","0","0","0","0","0.666667","16","16","0","1","0.666667","16","0","0","0","0","0","8","28","5","0","5","0","0","5","0","0","0","0","5","0","0","8","28","5","0","5","0","0","5","0","0","0","0","5","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L31242","StreamPumper$StreamType","org.apache.hadoop.ha.StreamPumper$StreamType","L31144","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\ha\StreamPumper.java","33","3","35","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
